ingr_id,ingr_suc,ingr_fecha,ingr_porcen_predeterminado,ingr_porcen_aplica,ingr_porcen_calculo,ingr_vreal,ingr_vrefectivo,ingr_vrtcredito,ingr_vnew,ingr_vnew_antesdredondear,ingr_vnefectivo,ingr_vntcredito,ingr_efect_dif,ingr_gastos,ingr_efec_newtotal,ingr_atendido,ingr_creditos,ingr_cheques,ingr_tipo_deposito,ingr_verificado,ingr_observaciones,ingr_recal
51662,1,6/16/19,83,85.4,48.53,20265.5,6047.8,14217.7,17953.9,17306.74,3736.2,14217.7,299.1,0,3437.1,FALSE,0,0,1,TRUE,,FALSE
51663,4,6/16/19,83,85.4,67.97,14456.6,3389.8,11066.8,12346.8,12345.94,1280,11066.8,1000,0,280,FALSE,0,0,1,TRUE,,FALSE
51664,6,6/16/19,83,85.4,51.12,21837.4,6821.5,15015.9,18650.9,18649.14,3635,15015.9,299,0,3336,FALSE,0,0,2,TRUE,,FALSE
51665,5,6/16/19,83,86.4,85.6,14547.5,13138.4,1409.1,12678.3,12569.04,11269.2,1409.1,0,0,11269.2,FALSE,0,0,1,TRUE,,FALSE
51666,69,6/16/19,83,100,100,23022.2,12767.8,10254.4,23022.2,23022.2,12767.8,10254.4,0,0,12767.8,FALSE,0,0,1,TRUE,,FALSE
51667,8,6/16/19,83,86.4,48.25,34557.7,9580.2,24977.5,29857.5,29857.85,4880,24977.5,499,0,4381,FALSE,0,0,2,TRUE,,FALSE
51668,9,6/16/19,83,86.4,84.66,5543.8,4914.5,629.3,4788.3,4789.84,4159,629.3,0,10,4159,FALSE,0,0,2,TRUE,,FALSE
51669,10,6/16/19,83,100,100,9012.9,4528.7,4484.2,9012.9,9012.9,4528.7,4484.2,9.1,0,4528.7,FALSE,0,0,2,TRUE,,FALSE
51670,14,6/16/19,83,86.4,65.28,37164,14768.2,22395.8,32107.9,32109.7,9712.1,22395.8,209.1,41,9503,FALSE,0,0,2,TRUE,,FALSE
51671,15,6/16/19,83,86.4,44.99,51380.8,13851.2,37529.6,44391.7,44393.01,6862.1,37529.6,1149.1,30,5713,FALSE,0,0,2,TRUE,,FALSE
51672,19,6/16/19,83,100,100,13981.2,872.1,13109.1,13981.2,13981.2,872.1,13109.1,0,0,872.1,FALSE,0,0,2,TRUE,,FALSE
51673,20,6/16/19,83,86.4,70.62,22342.35,10343.1,11437.5,19555.35,19303.79,8117.85,11437.5,0,0,8117.85,FALSE,561.75,0,2,TRUE,,FALSE
51674,22,6/16/19,83,86.4,56.77,46959.6,16002.5,30957.1,40570.3,40573.09,9613.2,30957.1,1228.2,0,8385,FALSE,0,0,2,TRUE,,FALSE
51675,32,6/16/19,83,86.4,42.68,18542.6,7248.8,11293.8,16021.2,16020.81,4727.4,11293.8,2000,0,2727.4,FALSE,0,0,2,TRUE,,FALSE
51676,33,6/16/19,83,86.4,68.77,18627.9,3459.6,15168.3,16093.3,16094.51,925,15168.3,0,0,925,FALSE,0,0,2,TRUE,,FALSE
51677,35,6/16/19,83,86.4,40.38,43296.4,9877,33419.4,37409.4,37408.09,3990,33419.4,0,0,3990,FALSE,0,0,2,TRUE,,FALSE
51678,39,6/16/19,83,86.4,51.07,60827.6,18191.7,42635.9,52921,52555.05,10285.1,42635.9,1286.1,0,8999,FALSE,0,0,2,TRUE,,FALSE
51679,2,6/16/19,83,100,100,17858,8820.2,9037.8,17858,17858,8820.2,9037.8,0,0,8820.2,FALSE,0,0,1,TRUE,,FALSE
51680,3,6/16/19,83,100,100,43093.2,19507.7,23585.5,43093.2,43093.2,19507.7,23585.5,0,50,19457.7,FALSE,0,0,1,TRUE,,FALSE
51681,78,6/16/19,83,100,100,19347.6,3934,15413.6,19347.6,19347.6,3934,15413.6,0,0,3934,FALSE,0,0,2,TRUE,,FALSE
51682,77,6/16/19,83,100,100,26487.7,3070.4,23417.3,26487.7,26487.7,3070.4,23417.3,159.1,0,3070.4,FALSE,0,0,2,TRUE,,FALSE
51683,12,6/16/19,83,100,100,23045.7,7830.4,15215.3,23045.7,23045.7,7830.4,15215.3,1088.2,10,7820.4,FALSE,0,0,2,TRUE,,FALSE
51684,91,6/16/19,83,86.4,73.03,13078.2,6594.6,6483.6,11299.6,11299.56,4816,6483.6,0,0,4816,FALSE,0,0,2,TRUE,,FALSE
51685,92,6/16/19,83,86.4,69.39,17629.3,8331.6,9297.7,15232.7,15231.72,5935,9297.7,500,0,5435,FALSE,0,0,2,TRUE,,FALSE
51686,93,6/16/19,83,86.4,67.24,43316.6,17981,25335.6,38977.7,37425.54,13642.1,25335.6,0,20,13642.1,FALSE,0,0,2,TRUE,,FALSE
51637,1,6/15/19,85,65,29.67,36177.05,18203.7,17561.6,25071.55,23515.08,7509.95,17561.6,199.1,0,7310.85,FALSE,411.75,0,1,TRUE,,FALSE
51638,4,6/15/19,85,65,37.59,38013,19193.95,17901.05,26654.35,24708.45,8753.3,17901.05,349.1,0,8404.2,FALSE,918,0,1,TRUE,,FALSE
51639,6,6/15/19,85,100,100,25434.1,4526.4,20907.7,25434.1,25434.1,4526.4,20907.7,0,0,4526.4,FALSE,0,0,2,TRUE,,FALSE
51640,5,6/15/19,85,66,56.57,37394.5,29667.1,7727.4,24675.5,24680.37,16948.1,7727.4,389.1,30,16559,FALSE,0,0,1,TRUE,,FALSE
51641,69,6/15/19,85,100,100,46127,21406.7,21985.8,46127,46127,24141.2,21985.8,0,0,21406.7,FALSE,2734.5,0,1,TRUE,,FALSE
51642,8,6/15/19,85,100,100,34847.3,6088.6,28758.7,34847.3,34847.3,6088.6,28758.7,0,10,6078.6,FALSE,0,0,2,TRUE,,FALSE
51643,9,6/15/19,85,100,100,9281.8,1620.5,7661.3,9281.8,9281.8,1620.5,7661.3,0,49,1571.5,FALSE,0,0,2,TRUE,,FALSE
51644,10,6/15/19,85,100,100,11743.1,185.3,11557.8,11743.1,11743.1,185.3,11557.8,309.1,0,185.3,FALSE,0,0,2,TRUE,,FALSE
