pro_numero,pro_razon,pro_ncorto,pro_rfc,pro_director,pro_director_tel,pro_director_email,pro_creycobranza,pro_cobranza_tel,pro_cobranza_email,pro_calle,pro_num_int,pro_num_ext,pro_colonia,pro_pais,pro_estado,pro_delompio,pro_cp,pro_telefonos,pro_fax,pro_fecha_alta,pro_observaciones,pro_codigo,pro_descto1,pro_descto2,pro_descto3,pro_atencion,pro_diascredito,pro_status,pro_cuenta,pro_saldoinipzs,pro_saldoiniimp,pro_fechasaldoini,pro_saldofinalpzs,pro_saldofinalimp,pro_fechasaldofin,pro_saldoini,pro_abonofact,pro_abonoremi,pro_cargofact,pro_cargoremi,pro_sigla,pro_sifact_norecep,pro_pago_al_vencimiento,pro_dias_resurtido,pro_tipo
4,"CALZADO VAN VIEN, S.A. DE C.V.                              ",VAN VIEN                      ,CVV-851031-Q7A ,DR. JORGE SCHMIDTH                                ,                                                  ,                                                  ,ERENDIRA GOMEZ                                    ,"5358-0988 , 5358-0354                             ",COBRANZA@VANVIEN.COM.MX                           ,CALZADA SAN ESTEBAN PTE.                ,          ,24,EL PARQUE NAUCALPAN                     ,1,16,NAUCALPAN                               ,50070,5-576-15-05 - 5-576-16-73                         ,"5,576-08-36    ",8/24/94,"20% piel, 10%  carnaza                                                                                                  ",8,0,0,0,"SRITA. SILVIA VALDEZ, FRANCISCA JUAREZ            ",30,TRUE,,,,,-3,-15166.69,5/9/13,TRUE,,,,,P,FALSE,FALSE,30,1
6,"CALZADO CHAVITA, S.A. DE C.V.                               ",BERRENDO                      ,CCA-831031-J5A ,LIC. SALVADOR SANCHEZ ROMERO                      ,                                                  ,                                                  ,MARICELA RAMOS                                    ,01477-7104900 EXT 12                              ,MARICELAR@BERRENDO.COM                            ,DESARROLLO INDUSTRIAL                   ,          ,108,FRACCIONAMIENTO INDUSTRIAL LAS CRUCES   ,1,12,LEON                                    ,37290,014777-71-94-02 - 014777-71-97-03                 ,014777-71-94-07,8/24/94,5%  Y  15% a 15 dias                                                                                                    ,10,0,0,0,GABRIELA MOJICA                                   ,8,TRUE,,,,,-64,-71887.4,5/9/13,TRUE,,,,,P,FALSE,FALSE,45,1
7,"CORPORACION PONS, S.A. DE C.V.                              ",                              ,CPO-871002-6Z3 ,SR. GERARDO PONS                                  ,                                                  ,                                                  ,STRA. LUPITA VILLASEÑOR                           ,                                                  ,                                                  ,OLIMPO No. 205                          ,          ,          ,LA MARTINICA                            ,1,1,                                        ,37500,014777 61-02-19 -                                 ,014777 61-27-00,8/24/94,"12%, 90 dias                                                                                                            ",11,0,0,0,GRABRIELA AGUAYO Y VANESSA PONS                   ,90,TRUE,,,,,-3,-488.4,4/23/12,TRUE,,,,,P,FALSE,FALSE,21,1
8,EUGENIO ALEJANDRO ALBA HERNANDEZ                            ,                              ,AAHE681115RU1  ,EUGENIO DE ALBA                                   ,                                                  ,                                                  ,SRTA. REMEDIOS                                    ,                                                  ,                                                  ,AV. FRANCIA # 101                       ,          ,101,MODERNA                                 ,1,12,"LEON, GUANAJUATO                        ",37320,0147-17-37-72 - 0147-18-82-40                     ,               ,9/2/99,"12%, 15 Dias                                                                                                            ",12,0,0,0,EUGENIO DE ALBA                                   ,15,TRUE,,,,,,,,,,,,,P,FALSE,,,1
9,"DISTRIBUIDORA FLEXI, S.A DE C.V.                            ",FLEXI                         ,DFL-800913-8B9 ,SR.ROBERTO PLASCENCIA  TORRES                     ,                                                  ,                                                  ,ABEL PORCAYO                                      ,01477-7102500                                     ,APORCAYO@FLEXI.COM.MX                             ,BLVD. FCO. VILLA SUR                    ,          ,201,ORIENTAL                                ,1,12,LEON                                    ,37510,91-800-47-05500 - 511-78-18                       ,9147-712-112   ,8/24/94,"5%, 30 Dias Consig.                                                                                                     ",18,5,0,0,"ARMANDO PATIÑO ovalo,MANUEL MAÑON countr          ",30,TRUE,,,,,-1177,-411883.17,5/9/13,TRUE,,,,,P,TRUE,TRUE,10,1
11,"CIA. MANUFACRERA DE CALZADO EMYCO, S.A. DE C.V.             ",                              ,MCE-821119-MV9 ,SR.FELIPE PABLO MARTINEZ                          ,,,SR. FILIBERTO MEDINA                              ,,,BLVD. ADOLFO LOPEZ MATEOS # 3427  OTE.  ,          ,          ,FRACC. IND. JULIAN DE OBREGON           ,1,1,                                        ,37290,91-40-4000 - 91-40-4000                           ,               ,8/24/94,35%+5%+3% 30 Dias                                                                                                       ,22,35,5,3,VICTOR ARTEAGA                                    ,30,TRUE,,,,,-42,-35702.96,4/23/12,TRUE,,,,,P,,,,1
12,INDUSTRIAL ZAPATERA JR S.A. DE C.V.                         ,                              ,IZJ-871119 B76 ,LIC. RAUL GALLARDO                                ,                                                  ,                                                  ,SRTA. PILAR GONZALEZ                              ,                                                  ,                                                  ,OCEANO ATLANTICO No. 417                ,          ,          ,LINDA VISTA                             ,1,1,                                        ,37300,014777 73-33-89 -                                 ,014777 18-34-05,8/24/94,"5%, 60 Dias                                                                                                             ",23,0,0,0,PILAR GONZALEZ                                    ,60,TRUE,,,,,,,,,,,,,P,FALSE,FALSE,0,1
13,"BIOCON DEVELOPMENT GROUP CO., LTD                           ",RU2                           ,RDI-020925-5I7 ,                                                  ,                                                  ,                                                  ,MANUEL                                            ,26297700 EXT 107                                  ,JMANUEL@RUDOS.COM.MX                              ,VIZCAINAS PONIENTE                      ,LOCAL I-J ,10,CENTRO                                  ,1,9,CUAUHTEMOC                              ,6070,26 29 77 00 - 26297709                            ,26 29 77 16    ,8/24/94,"40%  90 O 120  DIAS WENZHOU RUIXING SHOES CO., LTD                                                                      ",24,0,0,0,URI SHEINBERG                                     ,90,FALSE,,,,,-48,-6719.1,5/9/13,TRUE,,,,,P,FALSE,FALSE,0,1
14,"DEPORTIVOS CON ESTILO, S.A. DE C.V.                         ",CHARLY                        ,DES040531TP5   ,                                                  ,                                                  ,                                                  ,FRANCISCO LUNA                                    ,2623-1916                                         ,FRANCISCOLUNA @CHARLY.COM.MX                      ,BLVD. AEROPUERTO                        ,A         ,425,PREDIO SANTA JULIA DE JUAREZ            ,1,12,LEON                                    ,37290,01477-710-55-00                                   ,710-55-01      ,8/24/94,"10%, 150 DIAS EN CHARLY  Y 0% 60 DIAS EN SKECHERS                                                                       ",25,0,0,0,MARIO TRUJILLO OPERAZA                            ,150,TRUE,,,,,-438,-118898.09,5/9/13,TRUE,,,,,P,FALSE,FALSE,14,1
17,"AARICA SPORT, S.A. DE C.V.                                  ",                              ,               ,                                                  ,,,                                                  ,,,                                        ,          ,          ,                                        ,1,1,                                        ,        ,203-62-75 - 203-24-95                             ,               ,8/24/94,                                                                                                                        ,28,0,0,0,"JESUS GUEVARA,  SR. YANTADA                       ",0,FALSE,,,,,,,,,,,,,P,,,,1
